place_id,name,rating,user_ratings_total,latitude,longtitude,address,types
ChIJj03Ix0cYQjERLtyWG7FSbSM,Clb Bida 54/2,4.7,3,16.077545,108.2118493,"54 Ông Ích Khiêm, Thanh Bình, Hải Châu, Đà Nẵng 550000, Vietnam",['Club']
ChIJFbkva_YXQjERv0AKVffrDrk,The Hangover Bar,4.8,72,16.0764283,108.2441533,"1 Phước Trường 8, An Hải, Sơn Trà, Đà Nẵng 550000, Vietnam",['Cocktail bar']
ChIJ_eVRYpMZQjERQLQRXV-1d4s,Clb Bida 212,0.0,0,16.0364407,108.2120329,"212 Phan Đăng Lưu, Hoà Cường Bắc, Cẩm Lệ, Đà Nẵng 550000, Vietnam",['Club']
ChIJGR2oM7oZQjER3HuI3QUlp_0,KONOHA PREMIUM,3.9,17,16.045102,108.2227725,"286 Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000, Vietnam",['Recreation center']
ChIJzVy4fWIXQjERqwTOTpacEWM,Clb Bida Seven,0.0,0,16.0482697,108.2381343,"156 Ngũ Hành Sơn, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam",['Club']
ChIJlTe6ybwXQjERiXfEsLz5Zn4,Lounge Pandora,3.7,121,16.0683594,108.2437668,"7 Hà Bổng, An Hải, Sơn Trà, Đà Nẵng 550000, Vietnam",['Bar']
ChIJXVX9QbcZQjERANu4BB8U_9M,Câu Lạc Bộ Bida Thời Đại,0.0,0,16.0546393,108.2094546,"382, Nguyễn Tri Phương Q. Hải Châu, Tp. Đà Nẵng, Thạc Gián, Thanh Khê, Đà Nẵng, Vietnam",['Pool billard club']
ChIJ_3baTb8ZQjERlWxm_ZmNDt0,Bida quang nguyễn 468,0.0,0,16.0529935,108.2069786,"4 Đặng Thùy Trâm, Hòa Thuận Nam, Hải Châu, Đà Nẵng 550000, Vietnam",['Playground']
ChIJOTEBNDAYQjERQ0ilY1I4yho,Simple Man Pub,4.6,325,16.0660183,108.2301345,"05 Nguyễn Thông, An Hải Trung, Sơn Trà, Đà Nẵng 550000, Vietnam",['Bar']
ChIJ6xnJ6d0ZQjERGD9nH5toR6E,Robot Stadium ( chi nhánh 4 ),3.9,99,16.059394,108.2053458,"178 Nguyễn Tri Phương, Thạc Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",['Internet cafe']
ChIJiz7X0WwZQjER2QRmx7dwt04,BIDA JOKER,3.7,6,16.0598697,108.1874988,"316 Hà Huy Tập, Thanh Khê Đông, Thanh Khê, Đà Nẵng 550000, Vietnam",['RV park']
ChIJj1VzMisYQjERqW1YxWF8NqI,Clb Bida Hoàng Gia,5.0,1,16.0631865,108.2340216,"955 Ng. Quyền, An Hải Bắc, Sơn Trà, Đà Nẵng 550000, Vietnam",['Club']
ChIJNfNmWz8XQjERBYZl5LT0J-s,Bar & Pool,3.5,4,16.0622243,108.2451814,"36 Lâm Hoành, An Hải, Sơn Trà, Đà Nẵng 550000, Vietnam",['Bar']
ChIJXdDUwzIYQjERxDBcA0prFDo,Bamboo 2 Bar,4.2,1781,16.0649822,108.2240158,"216 Bạch Đằng, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam","['Sports bar', 'Bar', 'Bar & grill', 'Cocktail bar', 'Restaurant']"
ChIJRQIvVQAZQjER0_bFT5ahPg4,CLB BÓNG BÀN ĐA PHƯỚC,4.8,16,16.0781585,108.2081467,"Đ. Số 7, Khu đô thị Đa Phước, Hải Châu, Đà Nẵng 550000, Vietnam","['Table tennis club', 'Sports club']"
ChIJld1EaysYQjER6s9oAbKV3CE,Clb Bida Hưng Phát,3.0,2,16.0648372,108.2335791,"909 Ng. Quyền, An Hải Bắc, Sơn Trà, Đà Nẵng 550000, Vietnam",['Pool billard club']
ChIJ_dLvTlIYQjERkZnR7qyI-TM,Clb Bida Quý,0.0,0,16.0696489,108.1997076,"45 Lê Quang Sung, Chính Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",['Pool billard club']
ChIJQwRmgbcZQjERwR4YVPKJ02Y,Clb Bida 117,0.0,0,16.0542126,108.2115856,"118 Lê Đình Lý, Bình Thuận, Thanh Khê, Đà Nẵng 550000, Vietnam",['Pool billard club']
ChIJzy547MMZQjEREb0UR-do7nQ,Clb Bida 185,0.0,0,16.0459966,108.2213564,"185 Núi Thành, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000, Vietnam",['Pool billard club']
ChIJhb51M-4ZQjERSUlqTpM49Ck,Clb Bida 567,0.0,0,16.0311606,108.2228346,"567 Núi Thành, Hoà Cường Nam, Hải Châu, Đà Nẵng, Vietnam",['Pool billard club']
ChIJjZYlVdQZQjERz0WYuW74C5U,Câu lạc bộ Bida A.Huynh cơ sở 3,4.8,11,16.0794071,108.1627391,"342 Kinh D. Vương, Hoà Minh, Liên Chiểu, Đà Nẵng 50000, Vietnam",['Club']
ChIJTb9kX4kZQjERH6b_UVRYJ58,Clb Bida Nu,3.3,3,16.0245826,108.2078151,"24 Lê Đại Hành, Khuê Trung, Cẩm Lệ, Đà Nẵng 500000, Vietnam",['Pool billard club']
ChIJx-Gg2jkYQjERBlB-zWZ9QCc,Clb Bida Green,0.0,0,16.0759911,108.2176728,"6 Nguyễn Thị Minh Khai, Thạch Thang, Hải Châu, Đà Nẵng 550000, Vietnam",['Pool billard club']
ChIJocVX484ZQjERuz1C9B_uNwA,Clb Billiards 106,0.0,0,16.0558567,108.222091,"106 Đ. 2 Tháng 9, Bình Thuận, Hải Châu, Đà Nẵng 550000, Vietnam",['Billiards supply store']
ChIJ_0-ds1IYQjERJyQaI1aVHv8,Câu Lạc Bộ Bida Thời Đại,3.0,1,16.0659828,108.2011039,"90 Điện Biên Phủ, Chính Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",['Pool billard club']
ChIJ9dnYPgAZQjERHJ0nXNFKBmI,LEVEL POOL BILLIARDS,3.0,2,16.0741129,108.2141109,"376 Đống Đa, Thanh Bình, Hải Châu, Đà Nẵng 550000, Vietnam",['Billiards supply store']
ChIJYRQISxkXQjERD2hDD7iKeMo,Emma's bar Da Nang,4.9,447,16.0479781,108.2450191,"36-38 An Thượng 8, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam","['Bar', 'Cider bar', 'Cocktail bar', 'Karaoke bar', 'Live music bar']"
