place_id,name,rating,user_ratings_total,latitude,longitude,address,types
ChIJW9WDJwRZwokRusLtabnH-KU,Perk Coffee,4.5,428,40.7477307,-73.9772629,"162 E 37th St, New York, NY 10016",['Coffee shop']
ChIJQd4g1r9YwokRtdoZ53HYkfU,Handcraft Coffee,4.0,288,40.7736125,-73.959497,"151 E 77th St, New York, NY 10075",['Coffee shop']
ChIJSRYOgiZawokRay4l5pFtt84,Oliver Coffee,4.6,130,40.7129231,-73.998187,"5 Oliver St, New York, NY 10038",['Coffee shop']
ChIJmbazxfdYwokRlg4smtaLroM,Nordstrom Ebar Artisan Coffee – Men’s Store,3.9,21,40.7666399,-73.982103,"235 W 57th St, New York, NY 10019",['Coffee shop']
ChIJi0V-IohdwokRxK8_n0T4jVQ,Loveless Coffees,4.7,162,40.700613,-73.9301242,"86 Central Ave, Brooklyn, NY 11206",['Coffee shop']
ChIJhXxIXildwokR8lM-ySNg4j0,La Cabra,4.3,219,40.7065032,-73.9209374,"1329 Willoughby Ave Unit # 161, Brooklyn, NY 11237","['Coffee shop', 'Bakery', 'Cafe', 'Coffee roasters']"
ChIJfe_2P1NZwokR6CnObz22-7M,Coffee Project New York | Hell's Kitchen,4.2,213,40.7664117,-73.9865327,"840 9th Ave, New York, NY 10019",['Coffee shop']
ChIJkUd-KWFZwokRt_NBYp_Erck,Overflow Coffee,4.7,185,40.7459237,-73.9533208,"46-36 Vernon Blvd, Long Island City, NY 11101",['Coffee shop']
ChIJGdttgs1ZwokRPg83MF5U78I,Greenport Cafe,4.4,33,40.7600502,-73.9632614,"322 E 59th St, New York, NY 10022","['Coffee shop', 'Cafe', 'Cafeteria', 'Deli', 'Juice shop', 'Pastry shop']"
ChIJJcxqGxNZwokRgNPiig9YtQk,Angelina Bakery Times Square NYC,4.3,2086,40.7629544,-73.983331,"1675 Broadway, New York, NY 10019","['Pizza restaurant', 'Donut shop', 'Pastry shop']"
ChIJrxo4GABbwokRuo7wgcXbj7w,"Complete Cafe, LLC",4.8,284,40.706258,-74.0114893,"30 Broad St Frnt 1, New York, NY 10004","['Restaurant', 'Family restaurant']"
ChIJwx32VexbwokRFDmC8xoRMvU,The Mandarin,4.3,108,40.7123785,-73.9947039,"113 Madison St, New York, NY 10002",['Coffee shop']
ChIJsy4N14pYwokRq-HApXG-tLo,Joe Coffee Company: W 68th St,4.3,455,40.7750164,-73.9802963,"187 Columbus Ave, New York, NY 10023","['Coffee shop', 'Catering food and drink supplier', 'Caterer', 'Coffee machine supplier', 'Coffee store', 'Coffee wholesaler', 'Coffin supplier', 'Mobile caterer']"
ChIJiag-Wq5ZwokR9x2Wlf7j7dc,Krispy Kreme,4.3,1431,40.7500357,-73.9924885,"2 Penn Plz Amtrak Level, New York, NY 10121","['Donut shop', 'Coffee shop', 'Dessert shop', 'Fast food restaurant']"
ChIJAQBwaxdawokRFu8tsgCttow,Manon Cafe Leonidas,4.8,78,40.7083501,-74.0103229,"120 Broadway, New York, NY 10271",['Coffee shop']
ChIJv5LcpIRZwokRJdoHntqgF6I,The Bean,4.0,684,40.7256075,-73.9896034,"54 2nd Ave, New York, NY 10003","['Coffee shop', 'Açaí shop', 'Bakery', 'Breakfast restaurant', 'Cafe', 'Caterer', 'Gluten-free restaurant', 'Health food restaurant', 'Juice shop', 'Vegetarian cafe and deli']"
ChIJBzBASuRYwokRfDfcAMsM0w8,WFM Coffee Bar,4.1,24,40.7593039,-73.9663868,"226 E 57th St, New York, NY 10022","['Coffee shop', 'Cafe', 'Coffee store', 'Juice shop']"
ChIJCYRDb_9ZwokRQF4uMNN1WS4,Dan Jones Coffee Bar,4.0,156,40.760572,-73.9675894,"956 3rd Ave, New York, NY 10022",['Coffee shop']
ChIJR6Ycl4pZwokRtm3STkqyTH0,Jack’s Stir Brew Coffee,4.0,138,40.7194085,-74.0049093,"2 6th Ave, New York, NY 10013","['Coffee shop', 'Bakery', 'Restaurant', 'Tea house', 'Vegan restaurant']"
ChIJHdCCFdxZwokRyF_NVJkBdU0,Joe Coffee Company,4.1,161,40.7527277,-73.9772353,"105 East 42nd Street Grand Central Dining Concourse – Lower Level, Kiosk 6, New York, NY 10017",['Coffee shop']
ChIJSzbFnLpZwokRbLnS40fKlpQ,Bean & Bean Chelsea,4.2,759,40.7470077,-73.9970077,"318 8th Ave, New York, NY 10001","['Coffee shop', 'Breakfast restaurant', 'Brunch restaurant', 'Cafe', 'Cafeteria', 'Coffee roasters', 'Lunch restaurant', 'Snack bar']"
ChIJ0_sftbdZwokR5js23m5CrOo,Joe Coffee Company: Union Square,3.9,112,40.7365151,-73.9910701,"29 Union Square W, New York, NY 10003","['Coffee shop', 'Catering food and drink supplier', 'Caterer', 'Coffee machine supplier', 'Coffee store', 'Coffee wholesaler', 'Coffin supplier', 'Mobile caterer']"
ChIJRVlAxJxZwokRjCZrW4x6aUg,Elsewhere Espresso.,4.5,169,40.7268199,-73.9868678,"335 E 6th St, New York, NY 10003",['Coffee shop']
