place_id,name,rating,user_ratings_total,category,rating_rank
ChIJGz2AaU8YQjERVxPTCcpyWls,"Louis Club",4.5,16,"",1
ChIJH4CjHgAZQjERnXZTzxPH_wo,"TRIÊU DƯƠNG BILLIARDS CLUB",3.7,15,"",2
ChIJvUyQo5IZQjERjV6XGxhSxls,"Dan Billiards",3.0,4,"",3
ChIJCW5xU4AXQjERkKfdAxj1kdY,"Billiard Mỹ Khê",0.0,0,"",4
ChIJOTEBNDAYQjERQ0ilY1I4yho,"Simple Man Pub",4.6,325,"'Bar'",1
ChIJlTe6ybwXQjERiXfEsLz5Zn4,"Lounge Pandora",3.7,121,"'Bar'",2
ChIJNfNmWz8XQjERBYZl5LT0J-s,"Bar & Pool",3.5,4,"'Bar'",3
ChIJYRQISxkXQjERD2hDD7iKeMo,"Emma's bar Da Nang",4.9,447,"'Bar', 'Cider bar', 'Cocktail bar', 'Karaoke bar', 'Live music bar'",1
ChIJjRCiEQAZQjERXoI7T1WcWxs,"Mini Cues Billiard Shop",5.0,7,"'Billiards supply store'",1
ChIJufDwGDwYQjERL0K0KTebEu4,"Clb Bida Win",5.0,1,"'Billiards supply store'",2
ChIJNfQj-foZQjERR1CHhyp1cmY,"CLB Bida Thống Nhất - Billiards Club",4.2,5,"'Billiards supply store'",3
ChIJ9dnYPgAZQjERHJ0nXNFKBmI,"LEVEL POOL BILLIARDS",3.0,2,"'Billiards supply store'",4
ChIJIatxUFQZQjERrU9XriNW0VY,"AK Billiards Club",2.6,5,"'Billiards supply store'",5
ChIJocVX484ZQjERuz1C9B_uNwA,"Clb Billiards 106",0.0,0,"'Billiards supply store'",6
ChIJz6w4aksYQjERI8BlgRz-mfc,"Club Billiards Tiger",0.0,0,"'Bowling alley', 'Pool billard club'",1
ChIJiwWQ4MoZQjERV1EMzjPesKc,"Clb Bida & Cà Phê Sao",4.1,59,"'Cafe'",1
ChIJ8ypRwaoZQjER1t-OkvOxpaM,"Quán Cafe & Billiards Ngọc Tuấn",4.1,169,"'Cafe'",2
ChIJDVUvH1UYQjERbaS7yQ8vof8,"Clb Billiard Điểm Hẹn",5.0,6,"'Club'",1
ChIJg1dl4MoZQjERh2P7PxInpBk,"Sao Billard",5.0,3,"'Club'",2
ChIJj1VzMisYQjERqW1YxWF8NqI,"Clb Bida Hoàng Gia",5.0,1,"'Club'",3
ChIJjZYlVdQZQjERz0WYuW74C5U,"Câu lạc bộ Bida A.Huynh cơ sở 3",4.8,11,"'Club'",4
ChIJj03Ix0cYQjERLtyWG7FSbSM,"Clb Bida 54/2",4.7,3,"'Club'",5
ChIJmcIMTBwZQjERjuUlHqVhsR0,"Câu Lạc Bộ Bida TC",3.8,6,"'Club'",6
ChIJUX7of2MZQjERYZ5GN3bjr0s,"Arena Bida Club",3.7,48,"'Club'",7
ChIJ_eVRYpMZQjERQLQRXV-1d4s,"Clb Bida 212",0.0,0,"'Club'",8
ChIJzVy4fWIXQjERqwTOTpacEWM,"Clb Bida Seven",0.0,0,"'Club'",8
ChIJB8MhM5AZQjERZe67xptnen8,"BIDA- ATP CLub Billards",0.0,0,"'Club'",8
ChIJ16iBHiAYQjERx3SAUOyZVKw,"Corona Billiard Club",0.0,0,"'Club'",8
ChIJj1v19-EZQjERjDk4uJC2KkY,"Billiards Club Genz 68",5.0,9,"'Club', 'Pool billard club'",1
ChIJed3OO50XQjERoT0ez-xp34o,"79 Billiards",4.8,245,"'Club', 'Sports club'",1
